Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
710,Mikkel Kaufmann,dk DEN,FW,Heidenheim,de Bundesliga,25-000,2001,9,5,413,4.6,0.22,0.22,0.43,0.22,0.00,0.00,0.43,0.00,0.22,0.22,0.26,0.48,0.65,2.17,3.48,0.22,0.22,0.44,0.22,0.44,0.22,0.25,0.47,0.22,0.47,Matches
711,Yassine Kechta,ma MAR,MF,Le Havre,fr Ligue 1,23-312,2002,15,11,918,10.2,0.10,0.10,0.20,0.10,0.00,0.00,0.20,0.00,0.13,0.13,0.09,0.22,1.76,2.65,3.73,0.10,0.10,0.20,0.10,0.20,0.12,0.09,0.21,0.12,0.21,Matches
712,Lloyd Kelly,eng ENG,DF,Juventus,it Serie A,27-089,1998,15,15,"1,35",15.0,0.07,0.00,0.07,0.07,0.00,0.00,0.20,0.00,0.03,0.03,0.01,0.04,0.93,3.87,1.27,0.07,0.00,0.07,0.07,0.07,0.03,0.01,0.04,0.03,0.04,Matches
713,Milos Kerkez,hu HUN,DF,Liverpool,eng Premier League,22-057,2003,18,15,"1,236",13.7,0.07,0.00,0.07,0.07,0.00,0.00,0.22,0.00,0.07,0.07,0.07,0.15,1.82,5.18,6.79,0.07,0.00,0.07,0.07,0.07,0.07,0.07,0.14,0.07,0.14,Matches
714,Joshua Kimmich,de GER,MF,Bayern Munich,de Bundesliga,30-329,1995,13,11,"1,049",11.7,0.09,0.34,0.43,0.09,0.00,0.00,0.26,0.00,0.09,0.09,0.21,0.30,1.37,10.8,2.22,0.09,0.34,0.43,0.09,0.43,0.09,0.21,0.30,0.09,0.30,Matches
715,Dominik Kohr,de GER,DF,Mainz 05,de Bundesliga,31-337,1994,11,11,895,9.9,0.10,0.00,0.10,0.10,0.00,0.00,0.51,0.20,0.09,0.09,0.08,0.17,0.91,5.56,1.41,0.10,0.00,0.10,0.10,0.10,0.09,0.08,0.17,0.09,0.17,Matches
716,Adam Kölle,de GER,"DF,MF",Heidenheim,de Bundesliga,19-250,2006,5,0,77,0.9,1.11,0.00,1.11,1.11,0.00,0.00,1.11,0.00,0.44,0.44,0.11,0.56,0.00,3.33,2.22,1.17,0.00,1.17,1.17,1.17,0.50,0.07,0.57,0.50,0.57,Matches
717,Manu Koné,fr FRA,MF,Roma,it Serie A,24-231,2001,17,17,"1,53",17.0,0.06,0.06,0.12,0.06,0.00,0.00,0.06,0.00,0.08,0.08,0.07,0.15,1.53,7.24,1.71,0.06,0.06,0.12,0.06,0.12,0.08,0.07,0.15,0.08,0.15,Matches
718,Ransford Königsdörffer,gh GHA,FW,Hamburger SV,de Bundesliga,24-112,2001,15,12,"1,018",11.3,0.09,0.09,0.18,0.09,0.00,0.09,0.09,0.00,0.39,0.32,0.04,0.36,1.33,1.50,4.69,0.09,0.09,0.18,0.09,0.18,0.39,0.05,0.44,0.32,0.37,Matches
719,Odilon Kossounou,ci CIV,DF,Atalanta,it Serie A,24-364,2001,11,9,750,8.3,0.12,0.00,0.12,0.12,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.04,0.72,5.30,1.57,0.12,0.00,0.12,0.12,0.12,0.02,0.01,0.04,0.02,0.04,Matches
720,Charalampos Kostoulas,gr GRE,"FW,MF",Brighton,eng Premier League,18-218,2007,10,0,106,1.2,0.83,0.00,0.83,0.83,0.00,0.00,0.83,0.00,0.58,0.58,0.67,1.25,5.00,4.17,11.7,0.85,0.00,0.85,0.85,0.85,0.56,0.70,1.26,0.56,1.26,Matches
721,Arsène Kouassi,bf BFA,"DF,MF",Lorient,fr Ligue 1,21-114,2004,16,15,"1,362",15.1,0.07,0.20,0.26,0.07,0.00,0.00,0.13,0.00,0.03,0.03,0.17,0.19,3.77,2.19,5.89,0.07,0.20,0.26,0.07,0.26,0.03,0.16,0.19,0.03,0.19,Matches
722,Jules Koundé,fr FRA,DF,Barcelona,es La Liga,27-052,1998,17,13,"1,241",13.8,0.07,0.07,0.14,0.07,0.00,0.00,0.22,0.00,0.04,0.04,0.08,0.12,1.52,4.86,4.28,0.07,0.07,0.15,0.07,0.15,0.03,0.08,0.11,0.03,0.11,Matches
723,Goduine Koyalipou,cf CTA,FW,Levante,es La Liga,25-322,2000,11,2,247,2.7,0.37,0.00,0.37,0.37,0.00,0.00,0.37,0.00,0.37,0.37,0.11,0.44,0.74,1.11,4.81,0.36,0.00,0.36,0.36,0.36,0.36,0.10,0.45,0.36,0.45,Matches
724,Rasmus Kristensen,dk DEN,DF,Eint Frankfurt,de Bundesliga,28-176,1997,12,11,875,9.7,0.10,0.00,0.10,0.10,0.00,0.00,0.31,0.00,0.05,0.05,0.08,0.13,02.06,07.01,5.88,0.10,0.00,0.10,0.10,0.10,0.05,0.09,0.13,0.05,0.13,Matches
725,Thomas Kristensen,dk DEN,DF,Udinese,it Serie A,23-351,2002,8,8,720,8.0,0.13,0.00,0.13,0.13,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,0.88,2.25,0.25,0.12,0.00,0.12,0.12,0.12,0.04,0.00,0.04,0.04,0.04,Matches
726,Adrián de la Fuente,es ESP,DF,Levante,es La Liga,26-311,1999,13,10,952,10.6,0.09,0.00,0.09,0.00,0.09,0.09,0.28,0.00,0.11,0.04,0.01,0.04,0.47,2.17,0.75,0.09,0.00,0.09,0.00,0.00,0.11,0.01,0.12,0.04,0.04,Matches
727,Mayckel Lahdo,se SWE,"FW,MF",Nantes,fr Ligue 1,23-004,2002,8,5,415,4.6,0.22,0.22,0.43,0.22,0.00,0.00,0.00,0.00,0.09,0.09,0.11,0.20,1.74,1.30,5.65,0.22,0.22,0.43,0.22,0.43,0.08,0.11,0.19,0.08,0.19,Matches
728,Noa Lang,nl NED,"FW,MF",Napoli,it Serie A,26-200,1999,13,5,482,5.4,0.19,0.00,0.19,0.19,0.00,0.00,0.37,0.00,0.13,0.13,0.13,0.26,3.70,5.19,8.15,0.19,0.00,0.19,0.19,0.19,0.13,0.13,0.26,0.13,0.26,Matches
729,Hugo Larsson,se SWE,MF,Eint Frankfurt,de Bundesliga,21-190,2004,10,7,620,6.9,0.14,0.29,0.43,0.14,0.00,0.00,0.00,0.00,0.10,0.10,0.04,0.16,0.14,3.91,2.75,0.15,0.29,0.44,0.15,0.44,0.11,0.05,0.16,0.11,0.16,Matches
730,Josh Laurent,eng ENG,"DF,MF",Burnley,eng Premier League,30-242,1995,16,9,880,9.8,0.10,0.00,0.10,0.10,0.00,0.00,0.20,0.00,0.04,0.04,0.04,0.09,01.02,2.14,1.94,0.10,0.00,0.10,0.10,0.10,0.04,0.05,0.09,0.04,0.09,Matches
731,Julien Le Cardinal,fr FRA,DF,Brest,fr Ligue 1,28-153,1997,5,3,328,3.6,0.28,0.00,0.28,0.28,0.00,0.00,0.28,0.00,0.22,0.22,0.00,0.25,0.28,1.94,0.28,0.27,0.00,0.27,0.27,0.27,0.22,0.01,0.24,0.22,0.24,Matches
732,Robin Le Normand,es ESP,DF,Atlético Madrid,es La Liga,29-053,1996,12,10,945,10.5,0.10,0.00,0.10,0.10,0.00,0.00,0.19,0.00,0.04,0.04,0.00,0.04,0.29,3.14,0.00,0.10,0.00,0.10,0.10,0.10,0.04,0.00,0.04,0.04,0.04,Matches
733,Pierre Lees-Melou,fr FRA,MF,Paris FC,fr Ligue 1,32-223,1993,11,10,886,9.8,0.10,0.10,0.20,0.10,0.00,0.00,0.20,0.00,0.07,0.07,0.06,0.12,0.82,5.41,1.73,0.10,0.10,0.20,0.10,0.20,0.07,0.06,0.13,0.07,0.13,Matches
734,Esteban Lepaul,fr FRA,FW,Angers,fr Ligue 1,25-260,2000,2,2,174,1.9,0.53,0.00,0.53,0.53,0.00,0.00,0.00,0.00,0.32,0.32,0.11,0.42,0.53,0.53,2.11,0.52,0.00,0.52,0.52,0.52,0.31,0.10,0.41,0.31,0.41,Matches
735,Louis Leroux,fr FRA,"DF,MF",Nantes,fr Ligue 1,19-345,2006,12,10,926,10.3,0.10,0.10,0.19,0.10,0.00,0.00,0.10,0.00,0.03,0.03,0.04,0.07,0.78,2.72,2.62,0.10,0.10,0.19,0.10,0.19,0.03,0.04,0.07,0.03,0.07,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
736,Jamie Leweling,de GER,"FW,DF",Stuttgart,de Bundesliga,24-311,2001,14,11,"1,036",11.5,0.09,0.43,0.52,0.09,0.00,0.00,0.26,0.00,0.11,0.11,0.20,0.31,4.78,2.35,9.91,0.09,0.43,0.52,0.09,0.52,0.11,0.20,0.31,0.11,0.31,Matches
737,Matthijs de Ligt,nl NED,DF,Manchester Utd,eng Premier League,26-144,1999,13,13,"1,17",13.0,0.08,0.00,0.08,0.08,0.00,0.00,0.00,0.00,0.12,0.12,0.05,0.15,0.23,1.77,0.54,0.08,0.00,0.08,0.08,0.08,0.11,0.05,0.16,0.11,0.16,Matches
738,Diego Llorente,es ESP,DF,Betis,es La Liga,32-140,1993,3,2,82,0.9,1.11,0.00,1.11,1.11,0.00,0.00,0.00,0.00,0.78,0.78,0.00,0.78,0.00,1.11,0.00,1.10,0.00,1.10,1.10,1.10,0.73,0.00,0.73,0.73,0.73,Matches
739,Gautier Lloris,fr FRA,DF,Le Havre,fr Ligue 1,30-169,1995,15,15,"1,293",14.4,0.07,0.07,0.14,0.07,0.00,0.00,0.07,0.07,0.04,0.04,0.07,0.11,0.63,4.24,0.07,0.07,0.07,0.14,0.07,0.14,0.04,0.07,0.11,0.04,0.11,Matches
740,Giovani Lo Celso,ar ARG,MF,Betis,es La Liga,29-269,1996,14,9,881,9.8,0.10,0.20,0.31,0.10,0.00,0.00,0.31,0.00,0.17,0.17,0.18,0.36,1.43,7.65,3.47,0.10,0.20,0.31,0.10,0.31,0.18,0.18,0.36,0.18,0.36,Matches
741,Ruben Loftus-Cheek,eng ENG,"MF,FW",Milan,it Serie A,29-345,1996,15,7,722,8.0,0.13,0.13,0.25,0.13,0.00,0.00,0.13,0.00,0.23,0.23,0.10,0.34,4.00,4.13,6.88,0.12,0.12,0.25,0.12,0.25,0.23,0.10,0.33,0.23,0.33,Matches
742,Sean Longstaff,eng ENG,MF,Leeds United,eng Premier League,28-065,1997,12,10,878,9.8,0.10,0.20,0.31,0.10,0.00,0.00,0.10,0.00,0.07,0.07,0.21,0.29,0.31,3.16,1.43,0.10,0.21,0.31,0.10,0.31,0.08,0.21,0.29,0.08,0.29,Matches
743,Lorran,br BRA,"MF,FW",Pisa,it Serie A,19-183,2006,6,0,76,0.8,1.25,0.00,1.25,1.25,0.00,0.00,0.00,0.00,1.25,1.25,0.13,1.38,5.00,2.50,8.75,1.18,0.00,1.18,1.18,1.18,1.21,0.06,1.27,1.21,1.27,Matches
744,Pol Lozano,es ESP,MF,Espanyol,es La Liga,26-089,1999,17,15,"1,164",12.9,0.08,0.00,0.08,0.08,0.00,0.00,0.31,0.00,0.02,0.02,0.04,0.05,0.54,4.57,0.23,0.08,0.00,0.08,0.08,0.08,0.01,0.04,0.05,0.01,0.05,Matches
745,Lorenzo Lucca,it ITA,FW,Napoli,it Serie A,25-115,2000,14,4,392,4.4,0.23,0.00,0.23,0.23,0.00,0.00,0.23,0.00,0.34,0.34,0.14,0.48,1.59,0.91,07.05,0.23,0.00,0.23,0.23,0.23,0.35,0.14,0.49,0.35,0.49,Matches
746,Jhon Lucumí,co COL,DF,Bologna,it Serie A,27-191,1998,13,11,"1,031",11.5,0.09,0.00,0.09,0.09,0.00,0.00,0.17,0.00,0.07,0.07,0.01,0.08,0.78,3.83,0.17,0.09,0.00,0.09,0.09,0.09,0.07,0.01,0.08,0.07,0.08,Matches
747,José Luis Morales,es ESP,"MF,FW",Levante,es La Liga,38-164,1987,15,1,276,3.1,0.32,0.00,0.32,0.00,0.32,0.32,0.32,0.00,0.55,0.32,0.16,0.48,2.26,6.45,6.45,0.33,0.00,0.33,0.00,0.00,0.56,0.15,0.71,0.34,0.49,Matches
748,Castello Lukeba,fr FRA,DF,RB Leipzig,de Bundesliga,23-017,2002,14,14,"1,26",14.0,0.07,0.00,0.07,0.07,0.00,0.00,0.07,0.00,0.07,0.07,0.01,0.09,0.93,4.43,0.29,0.07,0.00,0.07,0.07,0.07,0.07,0.01,0.09,0.07,0.09,Matches
749,Dodi Lukebakio,be BEL,"FW,MF",Sevilla,es La Liga,28-101,1997,2,2,180,2.0,0.50,0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.05,0.05,0.40,0.45,2.00,3.00,9.00,0.50,0.00,0.50,0.50,0.50,0.04,0.41,0.45,0.04,0.45,Matches
750,Saša Lukić,rs SRB,MF,Fulham,eng Premier League,29-143,1996,16,13,"1,038",11.5,0.09,0.17,0.26,0.09,0.00,0.00,0.43,0.00,0.16,0.16,0.13,0.29,1.48,2.87,3.65,0.09,0.17,0.26,0.09,0.26,0.16,0.13,0.29,0.16,0.29,Matches
751,Sebastiano Luperto,it ITA,DF,Cagliari,it Serie A,29-119,1996,14,14,"1,256",14.0,0.07,0.00,0.07,0.07,0.00,0.00,0.07,0.00,0.02,0.02,0.01,0.04,0.43,1.50,0.00,0.07,0.00,0.07,0.07,0.07,0.02,0.02,0.04,0.02,0.04,Matches
752,Pablo Maffeo,es ESP,DF,Mallorca,es La Liga,28-175,1997,13,12,"1,11",12.3,0.08,0.00,0.08,0.08,0.00,0.00,0.33,0.00,0.02,0.02,0.01,0.02,0.81,2.85,2.93,0.08,0.00,0.08,0.08,0.08,0.01,0.01,0.02,0.01,0.02,Matches
753,Soungoutou Magassa,fr FRA,MF,West Ham,eng Premier League,22-087,2003,13,8,692,7.7,0.13,0.00,0.13,0.13,0.00,0.00,0.26,0.00,0.04,0.04,0.04,0.08,0.65,2.21,01.04,0.13,0.00,0.13,0.13,0.13,0.04,0.03,0.07,0.04,0.07,Matches
754,Hugo Magnetti,fr FRA,MF,Brest,fr Ligue 1,27-218,1998,15,14,"1,207",13.4,0.07,0.00,0.07,0.07,0.00,0.00,0.15,0.07,0.03,0.03,0.06,0.09,0.37,04.03,0.82,0.07,0.00,0.07,0.07,0.07,0.03,0.06,0.09,0.03,0.09,Matches
755,Harry Maguire,eng ENG,DF,Manchester Utd,eng Premier League,32-304,1993,8,4,345,3.8,0.26,0.26,0.53,0.26,0.00,0.00,0.00,0.00,0.08,0.08,0.11,0.18,0.53,3.95,0.53,0.26,0.26,0.52,0.26,0.52,0.08,0.09,0.18,0.08,0.18,Matches
756,Patrick Mainka,de GER,DF,Heidenheim,de Bundesliga,31-058,1994,15,15,"1,35",15.0,0.07,0.07,0.13,0.07,0.00,0.00,0.07,0.00,0.12,0.12,0.05,0.17,0.20,2.67,0.60,0.07,0.07,0.13,0.07,0.13,0.12,0.05,0.16,0.12,0.16,Matches
757,Ainsley Maitland-Niles,eng ENG,"DF,FW",Lyon,fr Ligue 1,28-127,1997,15,13,"1,216",13.5,0.07,0.15,0.22,0.07,0.00,0.07,0.22,0.07,0.12,0.06,0.15,0.21,1.41,3.26,4.44,0.07,0.15,0.22,0.07,0.22,0.12,0.15,0.27,0.06,0.21,Matches
758,Aïssa Mandi,dz ALG,DF,Lille,fr Ligue 1,34-073,1991,14,13,"1,096",12.2,0.08,0.00,0.08,0.08,0.00,0.00,0.33,0.00,0.08,0.08,0.05,0.12,01.07,6.15,0.25,0.08,0.00,0.08,0.08,0.08,0.08,0.05,0.13,0.08,0.13,Matches
759,Rafa Marín,es ESP,DF,Villarreal,es La Liga,23-229,2002,12,12,"1,069",11.9,0.08,0.00,0.08,0.08,0.00,0.00,0.08,0.00,0.03,0.03,0.01,0.03,0.59,3.45,0.00,0.08,0.00,0.08,0.08,0.08,0.03,0.01,0.03,0.03,0.03,Matches
760,Guillermo Maripán,cl CHI,DF,Torino,it Serie A,31-242,1994,16,16,"1,371",15.2,0.07,0.00,0.07,0.07,0.00,0.00,0.07,0.00,0.07,0.07,0.01,0.08,0.26,2.70,0.26,0.07,0.00,0.07,0.07,0.07,0.07,0.01,0.08,0.07,0.08,Matches
761,Aarón Martín,es ESP,DF,Genoa,it Serie A,28-256,1997,14,14,"1,124",12.5,0.08,0.24,0.32,0.08,0.00,0.00,0.16,0.00,0.02,0.02,0.42,0.44,0.88,3.76,3.52,0.08,0.24,0.32,0.08,0.32,0.03,0.41,0.44,0.03,0.44,Matches
762,Gabriel Martinelli,br BRA,FW,Arsenal,eng Premier League,24-199,2001,14,5,417,4.6,0.22,0.00,0.22,0.22,0.00,0.00,0.22,0.00,0.39,0.39,0.07,0.46,3.26,2.83,5.65,0.22,0.00,0.22,0.22,0.22,0.40,0.07,0.46,0.40,0.46,Matches
763,Arnau Martinez,es ESP,"DF,MF",Girona,es La Liga,22-253,2003,15,13,"1,012",11.2,0.09,0.09,0.18,0.09,0.00,0.00,0.36,0.00,0.04,0.04,0.03,0.07,1.43,04.02,2.59,0.09,0.09,0.18,0.09,0.18,0.04,0.03,0.07,0.04,0.07,Matches
764,Omar Mascarell,gq EQG,MF,Mallorca,es La Liga,32-335,1993,10,7,638,7.1,0.14,0.14,0.28,0.14,0.00,0.00,0.28,0.00,0.01,0.01,0.03,0.03,0.85,3.66,0.28,0.14,0.14,0.28,0.14,0.28,0.01,0.02,0.03,0.01,0.03,Matches
765,Han-Noah Massengo,fr FRA,MF,Augsburg,de Bundesliga,24-180,2001,15,15,"1,228",13.6,0.07,0.07,0.15,0.07,0.00,0.00,0.00,0.00,0.05,0.05,0.07,0.12,1.54,4.71,0.96,0.07,0.07,0.15,0.07,0.15,0.05,0.07,0.12,0.05,0.12,Matches
766,Franco Mastantuono,ar ARG,"FW,DF",Real Madrid,es La Liga,18-142,2007,10,7,548,6.1,0.16,0.00,0.16,0.16,0.00,0.00,0.49,0.00,0.33,0.33,0.11,0.44,1.31,3.11,11.3,0.16,0.00,0.16,0.16,0.16,0.32,0.11,0.44,0.32,0.44,Matches
767,Nemanja Matić,rs SRB,MF,Sassuolo,it Serie A,37-155,1988,16,16,"1,427",15.9,0.06,0.00,0.06,0.06,0.00,0.00,0.13,0.00,0.01,0.01,0.03,0.04,0.88,4.53,1.13,0.06,0.00,0.06,0.06,0.06,0.01,0.03,0.04,0.01,0.04,Matches
768,Chrislain Matsima,fr FRA,DF,Augsburg,de Bundesliga,23-233,2002,14,14,"1,26",14.0,0.07,0.07,0.14,0.07,0.00,0.00,0.36,0.00,0.03,0.03,0.04,0.06,0.29,3.14,0.21,0.07,0.07,0.14,0.07,0.14,0.03,0.04,0.06,0.03,0.06,Matches
769,Eliezer Mayenda,es ESP,FW,Sunderland,eng Premier League,20-240,2005,10,4,378,4.2,0.24,0.00,0.24,0.24,0.00,0.00,0.00,0.00,0.21,0.21,0.12,0.31,2.38,1.19,2.86,0.24,0.00,0.24,0.24,0.24,0.21,0.11,0.32,0.21,0.32,Matches
770,Ibrahim Mbaye,sn SEN,FW,Paris S-G,fr Ligue 1,17-344,2008,14,7,658,7.3,0.14,0.27,0.41,0.14,0.00,0.00,0.00,0.00,0.19,0.19,0.29,0.48,4.79,3.84,15.2,0.14,0.27,0.41,0.14,0.41,0.19,0.28,0.47,0.19,0.47,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
771,Pathé Mboup,sn SEN,FW,Brest,fr Ligue 1,22-130,2003,13,8,675,7.5,0.13,0.00,0.13,0.13,0.00,0.00,0.67,0.00,0.28,0.28,0.09,0.37,2.13,2.00,5.20,0.13,0.00,0.13,0.13,0.13,0.28,0.09,0.38,0.28,0.38,Matches
772,John McGinn,sct SCO,"FW,MF",Aston Villa,eng Premier League,31-077,1994,19,18,"1,42",15.8,0.06,0.13,0.19,0.06,0.00,0.00,0.19,0.00,0.13,0.13,0.13,0.26,1.46,3.99,3.16,0.06,0.13,0.19,0.06,0.19,0.13,0.13,0.26,0.13,0.26,Matches
773,Henrik Meister,dk DEN,FW,Pisa,it Serie A,22-047,2003,14,9,878,9.8,0.10,0.00,0.10,0.10,0.00,0.00,0.10,0.00,0.18,0.18,0.00,0.18,01.02,0.61,3.67,0.10,0.00,0.10,0.10,0.10,0.19,0.00,0.19,0.19,0.19,Matches
774,Rodrigo Mendoza,es ESP,"MF,FW",Elche,es La Liga,20-294,2005,12,5,647,7.2,0.14,0.00,0.14,0.14,0.00,0.00,0.42,0.00,0.10,0.10,0.04,0.14,2.36,3.33,5.56,0.14,0.00,0.14,0.14,0.14,0.10,0.05,0.14,0.10,0.14,Matches
775,Batista Mendy,fr FRA,MF,Sevilla,es La Liga,25-356,2000,13,12,966,10.7,0.09,0.00,0.09,0.09,0.00,0.00,0.19,0.00,0.07,0.07,0.02,0.08,01.03,2.15,0.65,0.09,0.00,0.09,0.09,0.09,0.07,0.02,0.09,0.07,0.09,Matches
776,Nobel Mendy,fr FRA,DF,Rayo Vallecano,es La Liga,21-122,2004,10,9,789,8.8,0.11,0.00,0.11,0.11,0.00,0.00,0.34,0.00,0.13,0.13,0.00,0.13,0.00,1.82,0.23,0.11,0.00,0.11,0.11,0.11,0.12,0.00,0.12,0.12,0.12,Matches
777,Georges Mikautadze,ge GEO,FW,Lyon,fr Ligue 1,25-064,2000,2,2,179,2.0,0.50,0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.55,0.55,0.00,0.55,3.50,1.50,4.00,0.50,0.00,0.50,0.50,0.50,0.53,0.00,0.53,0.53,0.53,Matches
778,Lewis Miley,eng ENG,"MF,DF",Newcastle Utd,eng Premier League,19-247,2006,15,8,842,9.4,0.11,0.21,0.32,0.11,0.00,0.00,0.00,0.00,0.07,0.07,0.07,0.15,0.64,2.66,1.81,0.11,0.21,0.32,0.11,0.32,0.07,0.08,0.15,0.07,0.15,Matches
779,Éder Militão,br BRA,DF,Real Madrid,es La Liga,27-350,1998,13,12,1,11.1,0.09,0.09,0.18,0.09,0.00,0.00,0.18,0.00,0.13,0.12,0.12,0.23,0.45,3.24,0.27,0.09,0.09,0.18,0.09,0.18,0.12,0.12,0.24,0.12,0.23,Matches
780,James Milner,eng ENG,MF,Brighton,eng Premier League,39-364,1986,10,2,288,3.2,0.31,0.31,0.63,0.00,0.31,0.31,0.63,0.00,0.25,0.03,0.06,0.09,1.25,5.63,1.88,0.31,0.31,0.62,0.00,0.31,0.26,0.07,0.34,0.02,0.09,Matches
781,Yerry Mina,co COL,DF,Cagliari,it Serie A,31-102,1994,11,11,896,10.0,0.10,0.00,0.10,0.10,0.00,0.00,0.20,0.00,0.06,0.06,0.01,0.07,0.70,1.60,0.00,0.10,0.00,0.10,0.10,0.10,0.06,0.01,0.07,0.06,0.07,Matches
782,Óscar Mingueza,es ESP,"MF,DF",Celta Vigo,es La Liga,26-235,1999,14,10,855,9.5,0.11,0.21,0.32,0.11,0.00,0.00,0.11,0.00,0.05,0.05,0.22,0.27,1.26,5.16,5.16,0.11,0.21,0.32,0.11,0.32,0.05,0.22,0.27,0.05,0.27,Matches
783,Yankuba Minteh,gm GAM,FW,Brighton,eng Premier League,21-165,2004,19,18,"1,541",17.1,0.06,0.23,0.29,0.06,0.00,0.00,0.00,0.00,0.16,0.16,0.26,0.42,4.80,1.46,10.2,0.06,0.23,0.29,0.06,0.29,0.16,0.26,0.42,0.16,0.42,Matches
784,Juan Miranda,es ESP,DF,Bologna,it Serie A,25-349,2000,14,12,"1,087",12.1,0.08,0.00,0.08,0.08,0.00,0.00,0.33,0.00,0.02,0.02,0.18,0.21,1.98,5.12,4.55,0.08,0.00,0.08,0.08,0.08,0.03,0.18,0.21,0.03,0.21,Matches
785,Tyrick Mitchell,eng ENG,"DF,MF",Crystal Palace,eng Premier League,26-124,1999,19,19,"1,703",18.9,0.05,0.00,0.05,0.05,0.00,0.00,0.11,0.00,0.02,0.02,0.07,0.09,02.01,1.53,6.14,0.05,0.00,0.05,0.05,0.05,0.02,0.07,0.09,0.02,0.09,Matches
786,Kaoru Mitoma,jp JPN,FW,Brighton,eng Premier League,28-228,1997,9,6,595,6.6,0.15,0.15,0.30,0.15,0.00,0.00,0.15,0.00,0.15,0.15,0.23,0.38,3.64,2.88,9.55,0.15,0.15,0.30,0.15,0.30,0.16,0.23,0.38,0.16,0.38,Matches
787,Luka Modrić,hr CRO,MF,Milan,it Serie A,40-116,1985,17,17,"1,482",16.5,0.06,0.12,0.18,0.06,0.00,0.00,0.12,0.00,0.03,0.03,0.13,0.16,1.39,09.09,0.97,0.06,0.12,0.18,0.06,0.18,0.03,0.13,0.16,0.03,0.16,Matches
788,Diego Moreira,be BEL,"DF,MF",Strasbourg,fr Ligue 1,21-150,2004,15,13,"1,128",12.5,0.08,0.16,0.24,0.08,0.00,0.00,0.24,0.00,0.06,0.06,0.32,0.38,3.12,4.40,9.44,0.08,0.16,0.24,0.08,0.24,0.06,0.32,0.38,0.06,0.38,Matches
789,Alberto Moreno,es ESP,DF,Como,it Serie A,33-182,1992,4,4,337,3.7,0.27,0.00,0.27,0.27,0.00,0.00,0.27,0.00,0.22,0.22,0.03,0.24,1.62,1.89,3.78,0.27,0.00,0.27,0.27,0.27,0.22,0.02,0.25,0.22,0.25,Matches
790,Mateu Morey,es ESP,DF,Mallorca,es La Liga,25-307,2000,11,6,446,5.0,0.20,0.00,0.20,0.20,0.00,0.00,0.40,0.00,0.06,0.06,0.04,0.10,0.80,3.40,3.40,0.20,0.00,0.20,0.20,0.20,0.06,0.04,0.10,0.06,0.10,Matches
791,Manu Morlanes,es ESP,MF,Mallorca,es La Liga,26-356,1999,14,11,837,9.3,0.11,0.00,0.11,0.11,0.00,0.00,0.32,0.11,0.06,0.06,0.04,0.11,1.18,5.38,1.51,0.11,0.00,0.11,0.11,0.11,0.06,0.04,0.11,0.06,0.11,Matches
792,Nikola Moro,hr CRO,MF,Bologna,it Serie A,27-297,1998,12,10,837,9.3,0.11,0.00,0.11,0.11,0.00,0.00,0.11,0.00,0.02,0.02,0.06,0.09,1.18,8.92,1.83,0.11,0.00,0.11,0.11,0.11,0.03,0.06,0.09,0.03,0.09,Matches
793,Tyler Morton,eng ENG,MF,Lyon,fr Ligue 1,23-064,2002,14,14,"1,224",13.6,0.07,0.07,0.15,0.07,0.00,0.00,0.22,0.07,0.07,0.07,0.10,0.17,1.99,4.63,0.81,0.07,0.07,0.15,0.07,0.15,0.07,0.10,0.17,0.07,0.17,Matches
794,Ngal'Ayel Mukau,cd COD,"MF,FW",Lille,fr Ligue 1,21-034,2004,13,5,490,5.4,0.19,0.00,0.19,0.19,0.00,0.00,0.19,0.00,0.22,0.22,0.02,0.24,1.48,3.89,3.33,0.18,0.00,0.18,0.18,0.18,0.22,0.02,0.24,0.22,0.24,Matches
795,Nordi Mukiele,fr FRA,DF,Sunderland,eng Premier League,28-063,1997,17,17,"1,53",17.0,0.06,0.06,0.12,0.06,0.00,0.00,0.18,0.00,0.04,0.04,0.06,0.09,0.47,2.76,2.18,0.06,0.06,0.12,0.06,0.12,0.04,0.06,0.10,0.04,0.10,Matches
