Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
20,Danny Welbeck,eng ENG,FW,Brighton,eng Premier League,35-038,1990,18,12,"1,087",12.1,0.66,0.00,0.66,0.58,0.08,0.25,0.25,0.00,0.60,0.40,0.02,0.43,0.74,0.99,3.80,0.66,0.00,0.66,0.58,0.58,0.60,0.03,0.62,0.40,0.43,Matches
21,Julián Álvarez,ar ARG,FW,Atlético Madrid,es La Liga,25-337,2000,18,17,"1,313",14.6,0.48,0.21,0.68,0.34,0.14,0.21,0.14,0.00,0.42,0.27,0.32,0.58,2.81,4.38,5.41,0.48,0.21,0.69,0.34,0.55,0.43,0.31,0.74,0.27,0.58,Matches
22,Cucho,co COL,FW,Betis,es La Liga,26-258,1999,17,17,"1,476",16.4,0.43,0.18,0.61,0.37,0.06,0.06,0.12,0.00,0.39,0.34,0.21,0.55,1.52,2.62,06.04,0.43,0.18,0.61,0.37,0.55,0.39,0.21,0.60,0.34,0.55,Matches
23,Odsonne Édouard,fr FRA,FW,Lens,fr Ligue 1,27-352,1998,14,13,862,9.6,0.73,0.21,0.94,0.63,0.10,0.10,0.10,0.00,0.50,0.42,0.07,0.49,01.04,02.08,4.48,0.73,0.21,0.94,0.63,0.84,0.50,0.08,0.57,0.41,0.49,Matches
24,Phil Foden,eng ENG,MF,Manchester City,eng Premier League,25-220,2000,17,16,"1,405",15.6,0.45,0.13,0.58,0.45,0.00,0.00,0.19,0.00,0.31,0.31,0.19,0.50,1.73,4.49,5.32,0.45,0.13,0.58,0.45,0.58,0.31,0.19,0.50,0.31,0.50,Matches
25,Michael Olise,fr FRA,FW,Bayern Munich,de Bundesliga,24-022,2001,15,12,"1,172",13.0,0.54,0.62,1.15,0.54,0.00,0.00,0.23,0.00,0.49,0.49,0.58,01.07,6.23,6.69,14.3,0.54,0.61,1.15,0.54,1.15,0.49,0.58,01.07,0.49,01.07,Matches
26,Raphinha,br BRA,"FW,MF",Barcelona,es La Liga,29-020,1996,11,9,700,7.8,0.90,0.38,1.28,0.77,0.13,0.13,0.26,0.00,0.71,0.60,0.33,0.94,4.23,3.85,11.5,0.90,0.39,1.29,0.77,1.16,0.70,0.33,01.03,0.60,0.93,Matches
27,Richarlison,br BRA,FW,Tottenham,eng Premier League,28-238,1997,19,12,"1,169",13.0,0.54,0.23,0.77,0.54,0.00,0.00,0.31,0.00,0.32,0.32,0.16,0.48,01.08,1.62,4.00,0.54,0.23,0.77,0.54,0.77,0.31,0.16,0.48,0.31,0.48,Matches
28,Morgan Rogers,eng ENG,"FW,MF",Aston Villa,eng Premier League,23-161,2002,19,19,"1,687",18.7,0.37,0.16,0.53,0.37,0.00,0.00,0.21,0.00,0.16,0.16,0.12,0.28,02.09,2.94,5.72,0.37,0.16,0.53,0.37,0.53,0.16,0.12,0.28,0.16,0.28,Matches
29,Wesley Saïd,fr FRA,MF,Lens,fr Ligue 1,30-259,1995,17,14,"1,182",13.1,0.53,0.15,0.69,0.46,0.08,0.08,0.00,0.00,0.46,0.40,0.22,0.62,1.60,4.50,05.04,0.53,0.15,0.69,0.46,0.61,0.46,0.22,0.68,0.40,0.62,Matches
30,Haris Tabakovic,ba BIH,FW,Gladbach,de Bundesliga,31-197,1994,14,11,984,10.9,0.64,0.28,0.92,0.64,0.00,0.09,0.00,0.00,0.61,0.54,0.07,0.61,0.37,0.92,3.76,0.64,0.27,0.91,0.64,0.91,0.61,0.07,0.68,0.54,0.61,Matches
31,Nick Woltemade,de GER,FW,Newcastle Utd,eng Premier League,23-323,2002,16,15,"1,172",13.0,0.54,0.08,0.62,0.46,0.08,0.08,0.00,0.00,0.45,0.39,0.07,0.46,0.38,1.23,4.23,0.54,0.08,0.61,0.46,0.54,0.45,0.07,0.52,0.39,0.46,Matches
32,Lamine Yamal,es ESP,FW,Barcelona,es La Liga,18-174,2007,14,13,"1,169",13.0,0.54,0.54,01.08,0.38,0.15,0.15,0.00,0.00,0.38,0.26,0.38,0.65,7.31,5.31,11.0,0.54,0.54,01.08,0.38,0.92,0.38,0.39,0.77,0.26,0.65,Matches
33,Mohamed Amoura,dz ALG,FW,Wolfsburg,de Bundesliga,25-239,2000,14,11,938,10.4,0.58,0.19,0.77,0.48,0.10,0.10,0.19,0.00,0.51,0.44,0.22,0.66,2.50,1.54,07.02,0.58,0.19,0.77,0.48,0.67,0.51,0.23,0.74,0.44,0.66,Matches
34,Fisnik Asllani,xk KVX,"FW,MF",Hoffenheim,de Bundesliga,23-148,2002,15,13,966,10.7,0.56,0.19,0.75,0.56,0.00,0.00,0.09,0.00,0.40,0.40,0.18,0.58,01.03,2.80,7.10,0.56,0.19,0.75,0.56,0.75,0.41,0.17,0.58,0.41,0.58,Matches
35,Christoph Baumgartner,at AUT,MF,RB Leipzig,de Bundesliga,26-155,1999,15,14,"1,201",13.3,0.45,0.45,0.90,0.45,0.00,0.08,0.30,0.00,0.49,0.43,0.15,0.58,1.43,3.38,3.91,0.45,0.45,0.90,0.45,0.90,0.48,0.15,0.64,0.43,0.58,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
36,Jarrod Bowen,eng ENG,"FW,MF",West Ham,eng Premier League,29-014,1996,19,19,"1,71",19.0,0.32,0.05,0.37,0.32,0.00,0.00,0.11,0.00,0.23,0.23,0.09,0.33,3.37,1.95,07.05,0.32,0.05,0.37,0.32,0.37,0.23,0.10,0.33,0.23,0.33,Matches
37,Ante Budimir,hr CRO,FW,Osasuna,es La Liga,34-165,1991,16,14,"1,224",13.6,0.44,0.00,0.44,0.22,0.22,0.29,0.00,0.00,0.53,0.29,0.04,0.33,0.51,0.96,3.31,0.44,0.00,0.44,0.22,0.22,0.53,0.04,0.56,0.30,0.33,Matches
